dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
01;1;2022-02-28;403814;392045;223663;894;254272
01;2;2022-02-28;36120;44126;85480;294;96935
01;3;2022-02-28;36693;27964;44;0;10
01;4;2022-02-28;8307;48;4;0;20
01;5;2022-02-28;2364;1361;19;0;25
02;1;2022-02-28;323814;318622;206878;679;224782
02;2;2022-02-28;44537;51923;80750;319;90679
02;3;2022-02-28;38439;31845;36;0;9
02;4;2022-02-28;9451;30;5;0;10
02;5;2022-02-28;2453;1502;7;0;11
03;1;2022-02-28;213688;211641;136007;518;144165
03;2;2022-02-28;30677;35125;64201;197;69474
03;3;2022-02-28;21449;17056;14;0;4
03;4;2022-02-28;4968;12;0;0;2
03;5;2022-02-28;1347;845;20;0;22
04;1;2022-02-28;94879;92859;60632;156;66175
04;2;2022-02-28;10717;11944;17714;68;19974
04;3;2022-02-28;10119;8199;9;0;7
04;4;2022-02-28;2938;8;0;0;3
04;5;2022-02-28;237;139;7;0;8
05;1;2022-02-28;88251;84475;45983;167;51145
05;2;2022-02-28;8947;11074;24633;88;27780
05;3;2022-02-28;9788;7896;14;0;3
05;4;2022-02-28;1932;6;2;0;3
05;5;2022-02-28;267;157;4;0;5
06;1;2022-02-28;644639;625307;395368;1595;435187
06;2;2022-02-28;123944;132626;159937;364;181142
06;3;2022-02-28;64487;47664;69;0;68
06;4;2022-02-28;20446;283;54;1;190
06;5;2022-02-28;1733;1083;61;1;74
07;1;2022-02-28;187660;185590;125475;357;138650
07;2;2022-02-28;34982;37353;40379;168;45446
07;3;2022-02-28;20844;16818;31;0;8
07;4;2022-02-28;5796;13;4;0;6
07;5;2022-02-28;744;472;5;0;7
08;1;2022-02-28;167783;165494;104139;415;112411
08;2;2022-02-28;19567;23803;45508;148;50510
08;3;2022-02-28;20782;16458;8;0;4
08;4;2022-02-28;4147;13;0;0;2
08;5;2022-02-28;1025;700;7;0;6
09;1;2022-02-28;88290;87435;62386;143;65299
09;2;2022-02-28;15964;16700;18017;50;19368
09;3;2022-02-28;7268;5723;1;0;1
09;4;2022-02-28;2462;6;0;0;1
09;5;2022-02-28;296;151;4;0;4
10;1;2022-02-28;183897;180059;107124;353;114291
10;2;2022-02-28;29915;34519;59227;110;65191
10;3;2022-02-28;17657;13799;6;0;4
10;4;2022-02-28;4554;15;4;0;3
10;5;2022-02-28;1650;1089;2;0;2
11;1;2022-02-28;224070;221344;145893;338;153917
11;2;2022-02-28;30008;33688;55364;132;60365
11;3;2022-02-28;25751;21446;18;0;6
11;4;2022-02-28;7990;41;4;0;15
11;5;2022-02-28;690;425;4;0;6
12;1;2022-02-28;173566;171043;119184;283;125853
12;2;2022-02-28;25899;27771;36416;90;39442
12;3;2022-02-28;15390;12803;15;0;9
12;4;2022-02-28;3783;25;0;0;3
12;5;2022-02-28;489;271;6;0;8
13;1;2022-02-28;1168062;1125137;763222;2714;849259
13;2;2022-02-28;195511;195643;158085;541;182438
13;3;2022-02-28;90304;69419;112;0;103
13;4;2022-02-28;32021;356;84;1;212
13;5;2022-02-28;3379;2054;78;1;96
14;1;2022-02-28;436389;437299;280416;896;296847
14;2;2022-02-28;68309;77910;143719;489;153957
14;3;2022-02-28;59793;46621;24;0;10
14;4;2022-02-28;11728;36;3;0;9
14;5;2022-02-28;3041;1839;41;0;47
15;1;2022-02-28;93780;94598;68522;238;71566
15;2;2022-02-28;10752;12093;21219;88;22912
15;3;2022-02-28;11575;9599;9;0;4
15;4;2022-02-28;2684;1;0;0;0
15;5;2022-02-28;395;225;6;0;7
16;1;2022-02-28;219965;219935;138545;603;144854
16;2;2022-02-28;32592;36762;72779;207;77271
16;3;2022-02-28;24985;21107;20;0;3
16;4;2022-02-28;7054;17;3;0;5
16;5;2022-02-28;1246;710;8;0;10
17;1;2022-02-28;415425;419063;270831;1101;281490
17;2;2022-02-28;65942;74040;137572;406;146025
17;3;2022-02-28;55911;46879;59;0;27
17;4;2022-02-28;17076;29;2;0;8
17;5;2022-02-28;1474;773;19;2;17
18;1;2022-02-28;187820;185949;121596;469;129062
18;2;2022-02-28;30187;34094;54512;232;59845
18;3;2022-02-28;17379;14351;18;0;5
18;4;2022-02-28;5353;11;5;0;3
18;5;2022-02-28;1054;666;12;0;13
19;1;2022-02-28;148803;148835;98958;204;102478
19;2;2022-02-28;20844;23422;44260;72;47308
19;3;2022-02-28;19700;16567;19;0;2
19;4;2022-02-28;4412;7;4;0;4
19;5;2022-02-28;643;379;7;0;7
21;1;2022-02-28;309623;309296;210659;833;227411
21;2;2022-02-28;57542;62460;81726;300;88292
21;3;2022-02-28;41665;32126;50;0;21
21;4;2022-02-28;8856;47;8;0;23
21;5;2022-02-28;2044;1260;20;0;22
